Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Prob_Home,Prob_Draw,Prob_Away,HomeWin_Pct,HomeWin_StdDev,Optimal_Advantage,TeamHomeAdvantage,HomeAdvantageUsed,Home_Elo,Away_Elo,Relative_Home_Advantage,Elo_Difference,Home_Attack,Away_Defense,Away_Attack,Home_Defense,Pred_Home_Goals,Pred_Away_Goals,Home_Elo_I,Away_Elo_I,Home_Avg_Goals_I,Away_Avg_Goals_I,Pred_Home_GoalsF,Pred_Away_GoalsF,Home_Elo_I_Norm,Away_Elo_I_Norm,Home_Power,Away_Power,Home_Avg_Odd_H,Away_Avg_Odd_A,Pred_Home_Odd_Goals,Pred_Away_Odd_Goals,BackHome
2.2,2.9,3.2,2.38,1.53,1.98,1.65,0.4088106,0.31013215,0.28105727,0.4365256,0.49600485,-44.34578,-98.392975,-98.392975,1510.073,1485.5502,-0.65595317,-73.870056,1.5,0.5,1.3,0.9,1.2721341,1.10125,1459.4255,1622.675,1.5,0.7,1.380749,0.8023189,0.7039679,0.78271294,0.97468036,0.7905553,2.351,3.631,1.4592565,1.1501327,0
1.91,3.6,3.6,1.67,2.15,1.62,2.2,0.4851752,0.2574124,0.2574124,0.43631178,0.4961631,-44.496803,0,0,1595.7585,1648.2238,0,-52.465214,2,1.2,1.6,1.1,1.6053443,1.1310899,1560.7913,1507.3319,2,0.9,1.7709693,0.9172688,0.7528627,0.72707605,1.1601053,0.80315316,1.574,3.808,1.702376,1.0305058,1
2.45,3.1,2.63,2.05,1.75,1.8,1.95,0.36739293,0.29035893,0.34224817,0.4262295,0.49478152,-51.63788,-20.461008,-20.461008,1639.9536,1676.5566,-0.13640672,-57.06401,1,2.4,0.9,1.2,1.6035178,1.1212419,1479.9951,1510.7644,0.7,1.2,0.9153026,1.1928008,0.7138899,0.72873175,0.794455,0.9143594,3.492,3.916,1.2147076,1.27749,1
1.85,3.2,4.2,2.18,1.53,1.98,1.65,0.49539256,0.28639883,0.21820863,0.4365256,0.49600485,-44.34578,-83.70385,-83.70385,1575.1311,1462.4573,-0.55802566,28.97002,1.9,1.5,1.5,1.5,1.5346452,1.1720073,1667.4373,1491.9673,1.9,0.4,1.695859,0.6169866,0.8043044,0.71966475,1.1609262,0.6785935,1.747,3.104,1.5611724,1.1310163,1
2.55,3.3,2.75,1.85,2,1.67,2.1,0.37037036,0.28619528,0.34343433,0.4384191,0.4964215,-43.009132,10.221642,10.221642,1697.7056,1776.4816,0.06814428,-68.5544,1.8,1.4,0.9,1.3,1.4350209,1.131153,1629.3127,1749.6742,1.9,1.8,1.8679241,1.6414243,0.78591466,0.8439722,1.2187184,1.162953,2.352,2.319,1.3159286,1.3171213,0
2.6,3.1,2.5,1.85,1.8,1.82,1.93,0.34737787,0.29134917,0.36127296,0.40748033,0.49160755,-65.03846,61.960785,61.960785,1843.12,1489.317,0.4130719,415.76376,1,1.1,1,1,1.4215051,1.1512386,1498.5916,1551.8278,1,1,1.0765108,0.98753935,0.7228601,0.7485391,0.8643204,0.8441392,5.877,5.541,0.89768356,1.4306849,1
1.62,4.1,5,1.53,2.4,1.57,2.25,0.5816923,0.2298394,0.1884683,0.40508223,0.49127525,-66.76551,-62.714443,-62.714443,1671.6796,1767.948,-0.41809627,-158.98285,1.7,1.9,1.5,1.5,1.400855,1.2585467,1637.243,1476.0105,1.7,1.5,1.5057653,1.3335627,0.7897399,0.7119679,1.0761501,0.96060586,2.016,3.443,1.5274113,1.1272869,1
4.05,3.3,1.88,2.15,1.65,1.95,1.75,0.22823088,0.28010154,0.4916676,0.3992989,0.48983237,-70.944115,5.0356507,5.0356507,1772.7179,1527.8071,0.033571005,249.94643,1.7,0.9,2,0.3,1.2536538,1.1614795,1495.7972,1782.6356,1.7,0.9,1.3892574,0.9172688,0.7215122,0.8598715,0.98861027,0.8828304,1.966,1.949,1.3703609,1.3075637,0
2.77,2.82,2.75,2.42,1.5,1.98,1.75,0.33449936,0.32856852,0.3369321,0.3992989,0.48983237,-70.944115,86.68365,86.68365,1538.6414,1703.8868,0.57789093,-78.56184,1.3,0.9,0.9,0.7,1.4170281,1.1014341,1578.2251,1580.8245,1.3,0.8,1.307561,0.8878442,0.7612721,0.7625259,0.97978765,0.81265324,2.512,3.6385715,1.4183261,1.1712437,0
4.85,3.35,1.75,2.4,1.5,2.25,1.57,0.19160062,0.27739194,0.5310074,0.3992989,0.48983237,-70.944115,94.21138,94.21138,1530.7738,1703.8868,0.62807584,-78.90164,0.7,0.5,0.9,0.8,1.0996336,1.081916,1463.6967,1774.5897,0.7,1,0.9153026,0.89700025,0.70602816,0.85599047,0.78973794,0.8723944,2.713,2.752,1.2756767,1.3142699,0
2.57,2.92,2.87,2.2,1.62,1.83,1.87,0.3602815,0.31709707,0.3226214,0.3992989,0.48983237,-70.944115,70.4365,70.4365,1754.4678,1436.8673,0.4695767,388.037,0.7,2.9,1.2,0.8,1.1612294,1.1309009,1626.8026,1350.7755,0.7,1,0.8721274,0.9607767,0.7847039,0.6515596,0.8196733,0.77524644,2.711,5.153,1.5414202,1.0254811,0
3.1,3.6,2.2,1.67,2.15,1.62,2.2,0.3057915,0.26332048,0.43088803,0.44039735,0.4966404,-41.614025,-46.95424,-46.95424,1496.3162,1388.8665,-0.31302828,60.495403,0.9,2.2,1.4,1.4,1.3140543,1.2144727,1267.3354,1409.053,0.9,1.5,0.9209429,1.448136,0.61131144,0.6796703,0.73516405,0.98705655,3.47,4.741,1.3013058,1.1701481,1
2.55,3.1,2.55,2.15,1.67,1.83,1.83,0.35428572,0.29142857,0.35428572,0.39512196,0.48911554,-73.97466,-138.715,-138.715,1573.887,1558.489,-0.9247666,-123.3171,1.3,1.9,1.2,1,1.4776403,1.2583364,1346.4767,1515.0752,1.1,1.4,1.12419,1.42107,0.649486,0.7308111,0.83936757,1.0069146,2.613,2.988,1.3232377,1.26761,0
4.33,3.3,1.9,2.3,1.62,2.05,1.7,0.21781422,0.28579864,0.49638712,0.42028984,0.49381593,-55.864796,10.860898,10.860898,1665.095,1671.0255,0.07240599,4.9303217,1.4,1.3,1.4,0.5,1.396443,1.1409608,1538.0598,1711.1394,1.4,1.2,1.3221886,1.0540813,0.741898,0.82538456,0.9740142,0.91686326,2.41,3.175,1.3929355,1.213984,0
1.65,3.2,5.3,2.15,1.55,2.77,1.41,0.5473616,0.28223333,0.17040503,0.45723337,0.49843088,-29.790089,11.585479,11.585479,1654.2482,1506.3201,0.077236526,159.51357,0.3,1.7,1.4,0.4,0.93967533,1.0347068,1300.855,1482.4067,0.3,0.9,0.7333221,0.79953384,0.6274799,0.7150532,0.6698168,0.74884546,6.156,3.894,0.74989176,1.7525418,0
2.4,2.8,3.4,2.18,1.65,1.75,1.95,0.39016393,0.33442622,0.27540985,0.41866666,0.49366978,-57.022736,49.975494,49.975494,1711.1266,1759.417,0.33316997,1.6850983,1.5,1.2,1,1,1.5058731,1.2365888,1731.2881,1688.3049,1.5,1.2,1.4491037,1.1446428,0.8351035,0.81437016,1.0807036,0.9464792,1.948,2.554,1.4418279,1.2257874,0
3.2,3.5,2.2,1.86,2.04,1.67,2.1,0.29683885,0.27139553,0.43176562,0.42028984,0.49381593,-55.864796,-51.63788,-51.63788,1617.5852,1589.7307,-0.34425253,-23.783339,0.9,1.6,1.4,1.6,1.1895511,1.1210545,1616.2653,1549.9779,0.9,1.2,0.951092,1.1136225,0.7796211,0.7476468,0.84820944,0.8940371,2.57,3.558,1.3946954,1.1891261,1
4.2,3.8,1.72,1.8,1.93,1.78,1.93,0.21991925,0.24306864,0.5370121,0.4522613,0.49802873,-33.273594,108.14447,108.14447,1749.7948,1594.7048,0.7209631,263.23444,1.3,0.3,0.8,0.9,1.6478162,1.1513027,1596.792,1784.738,1,1.5,1.1117529,1.2112998,0.770228,0.86088556,0.90683794,1.0010512,2.747,1.83,1.1791773,1.4513245,0
2.8,3.4,2.45,1.85,2,1.67,2.1,0.3371105,0.2776204,0.38526914,0.45454547,0.50020844,-31.672499,-83.70385,-83.70385,1593.7156,1529.9352,-0.55802566,-19.92354,1.3,1.7,1.4,1.8,1.532899,1.081916,1435.8608,1541.8116,1.4,0.7,1.280276,0.81341654,0.6926013,0.7437077,0.9276712,0.77159125,2.09,5.948,1.8354173,0.8780184,0
1.2,7.5,11,1.29,3.75,1.7,2.05,0.7879656,0.1260745,0.08595989,0.45266274,0.49799976,-32.99212,15.567226,15.567226,1598.9825,1452.2571,0.10378151,162.29263,2.5,1.3,0.9,1.8,1.8281144,1.192752,1918.4231,1637.8672,2.5,1.1,2.6684341,1.0486878,0.92536986,0.79004097,1.6225955,0.89349973,1.569,3.296,1.6366512,1.0858036,1
2.45,3.4,2.88,1.93,1.93,1.73,2,0.38891095,0.28024465,0.3308444,0.44287547,0.49688557,-39.868256,66.53257,66.53257,1507.8204,1587.8116,0.44355047,-13.458612,1.6,1.1,0.5,1,1.2990564,1.1013113,1436.5806,1593.7384,1.6,1.3,1.666826,1.0595026,0.6929485,0.7687551,1.0824995,0.88505405,1.955,2.191,1.3994715,1.2736477,0
4.1,3.1,1.95,2.5,1.5,2.25,1.57,0.22598131,0.2988785,0.47514018,0.3895284,0.4877339,-78.05053,40.322582,40.322582,1303.8004,1572.2648,0.26881722,-228.14172,0.4,0.9,1.7,1.1,0.91441387,1.1928849,1219.3673,1459.6594,0.3,0.9,0.64466697,0.996076,0.58817357,0.7040808,0.61077094,0.82087886,4.62,3.06,0.9265123,1.5939008,1
1.6,3.9,5.25,1.67,2.15,1.73,2,0.58308417,0.23921402,0.17770183,0.3895284,0.4877339,-78.05053,-44.358265,-44.358265,1429.4696,1626.034,-0.29572177,-240.92268,1.1,1.7,1,1.5,1.4259961,1.3158953,1451.8102,1349.2322,1.3,1,1.3287916,0.9607767,0.7002946,0.6508151,0.9516934,0.77479976,2.608,4.315,1.4701545,1.1046649,0
2.8,3.3,2.55,2.1,1.73,1.8,1.95,0.33938295,0.28796127,0.37265578,0.42028984,0.49381593,-55.864796,-112.33064,-112.33064,1537.6212,1826.6943,-0.74887097,-401.4038,1,1.3,2.6,2,1.1135962,1.1211795,1434.88,1671.0415,1,1.2,0.83195484,1.2601779,0.69212824,0.80604297,0.74805886,0.98769695,3.48,2.144,1.0589521,1.5317761,1
2.67,3,2.67,2.05,1.72,1.72,2,0.34602076,0.30795848,0.34602076,0.3992989,0.48983237,-70.944115,10.221642,10.221642,1703.8868,1493.9181,0.06814428,220.19028,1.3,1.5,1.8,0.4,1.1685785,1.1929513,1596.015,1716.6813,1.3,1.2,1.1311175,1.0984292,0.76985323,0.82805777,0.9143589,0.9362063,1.894,2.833,1.488249,1.1834289,0
2.38,3.7,2.7,1.36,3.1,1.33,3.25,0.3960828,0.25477758,0.34913963,0.49084112,0.5000096,-6.3649526,10.531575,10.531575,1466.8453,1502.245,0.0702105,-24.868069,0.9,1.2,1.4,1,1.2482835,1.2921448,1450.0527,1673.8198,1.1,1.1,1.0540471,0.97907585,0.6994469,0.8073831,0.841287,0.8760602,1.883,3.295,1.5463948,1.1268456,1
2.05,3.75,3.4,1.75,2.05,1.67,2.1,0.46520114,0.25430995,0.2804889,0.44237918,0.4968997,-40.21772,-116.01385,-116.01385,1616.726,1582.4576,-0.77342564,-81.74542,1.3,1.9,2.1,1.2,1.2301497,1.2036304,1495.0266,1444.0709,1.3,0.6,1.0777622,0.7151404,0.7211405,0.6965616,0.8637892,0.7039931,4.95,9.505,1.4493464,0.8518662,1
1.95,2.9,3.8,2.75,1.4,2.38,1.53,0.4575462,0.30766037,0.23479344,0.44125736,0.4966349,-41.007935,38.764004,38.764004,1521.8889,1626.9032,0.2584267,-66.25021,1.7,1.2,1.6,0.6,1.294965,1.2256174,1585.3693,1529.2284,1.7,0.7,1.4817072,0.78057575,0.7647181,0.73763806,1.0515138,0.75481313,2.247,4.39,1.5783712,1.050496,0
4.1,3.5,1.75,2,1.85,1.83,1.83,0.221519,0.25949368,0.51898736,0.4280992,0.4952127,-50.310535,0,0,1699.2551,1565.2461,0,134.00908,2.9,1,0.9,1,2.532381,1.327527,1747.523,1831.9623,2.9,1.7,3.3847091,1.6107457,0.8429345,0.88366467,1.8596443,1.1744971,1.587,2.057,1.4798535,1.2365905,0
2.5,2.9,3.1,2.7,1.44,2.1,1.67,0.37473947,0.32305127,0.30220926,0.4647168,0.49886936,-24.558092,-6.2048664,-6.2048664,1846.9773,1664.8196,-0.041365776,175.95274,1.5,1.3,1,0.9,1.4259961,1.0723766,1702.8685,1755.2664,1.5,1.7,1.4491037,1.6107457,0.82139504,0.8466696,1.0724785,1.1523,2.1,2.656,1.4141288,1.2348665,1
1.57,3.75,6.25,2,1.85,2,1.73,0.5988502,0.25071862,0.15043117,0.46703297,0.49918634,-22.941124,-11.98529,-11.98529,1442.4794,1590.9678,-0.079901926,-160.47372,3.1,1,1.8,1.1,2.1528482,1.3272312,1833.218,1710.0355,3.1,0.7,3.2976117,0.81341654,0.88427037,0.8248521,1.8496069,0.82027787,1.403,2.748,1.615255,1.1267498,0
1.47,4.15,6.3,1.75,2.02,1.88,1.83,0.62990135,0.22312167,0.14697698,0.3974152,0.48975897,-72.30949,116.22582,116.22582,1707.3074,1638.5447,0.7748388,184.98851,1.8,1.7,1.4,0.6,1.3675023,1.1926855,1620.2518,1489.1155,1.6,1.2,1.5132852,0.944379,0.7815441,0.7182892,1.0742404,0.8087251,2.048,4.546,1.6562653,1.0097558,1
1.7,3.6,4,1.75,2.05,1.75,2,0.5270864,0.2489019,0.22401172,0.4262295,0.49478152,-51.63788,26.200619,26.200619,1633.7305,1576.6074,0.1746708,83.3237,2.3,1.6,0.7,0.6,1.9589739,1.1617384,1820.3407,1655.5383,2.3,1.3,2.446887,1.1505299,0.87805885,0.79856485,1.5055901,0.93935084,1.814,2.535,1.4749018,1.2089543,0
2.88,3.4,2.1,1.83,2.03,1.7,2.05,0.31070495,0.26318538,0.42610967,0.4262295,0.49478152,-51.63788,-17.832853,-17.832853,1467.812,1642.3629,-0.11888569,-192.3838,2,1.4,1.4,2.2,1.5902243,1.2805377,1651.9241,1696.0142,2,1.6,1.8289459,1.6699251,0.7968215,0.81808877,1.2096713,1.1588234,1.936,1.954,1.3783395,1.3022773,0
5.2,3.7,1.6,1.78,1.93,1.75,1.85,0.17682198,0.24850658,0.57467145,0.40927693,0.4920362,-63.74666,-7.722062,-7.722062,1702.0966,1612.434,-0.051480412,81.94063,1.5,0.9,0.6,1.3,1.4964027,1.1011273,1602.8153,1791.7717,1.6,2.4,1.5882012,2.8529582,0.7731334,0.8642783,1.0991606,1.6597503,2.072,2.379,1.3906561,1.2665056,0
1.48,4.5,6,1.73,2.08,1.83,1.83,0.6346968,0.2087447,0.15655853,0.4384191,0.4964215,-43.009132,-101.30289,-101.30289,1552.9128,1591.0913,-0.6753526,-139.48135,1.5,1.3,0.5,1,1.400855,1.1312159,1760.083,1598.2662,1.3,0.8,1.3945742,0.82890904,0.848993,0.7709391,1.0672255,0.7941271,1.75,3.845,1.6539794,1.0480882,1
4.2,3.9,1.75,1.73,2.1,1.67,2.1,0.22336769,0.24054983,0.53608245,0.42028984,0.49381593,-55.864796,-63.344997,-63.344997,1529.344,1696.5166,-0.42229998,-230.5176,2.1,0.8,0.9,1.5,1.736614,1.2468941,1824.4777,1934.5437,2.1,2.6,2.103738,3.3525631,0.88005435,0.9331458,1.3695278,1.9009128,1.797,2.191,1.439936,1.2501554,0
2.1,3.1,3.75,2.08,1.73,1.8,1.95,0.4469435,0.30276817,0.25028834,0.39384615,0.48878947,-74.902504,-59.36793,-59.36793,1554.13,1613.7103,-0.39578623,-118.94829,1.4,1.2,1.6,0.9,1.400855,1.1112939,1539.5115,1599.712,1.5,1.1,1.3369799,1.0631932,0.7425982,0.7716365,0.9803509,0.8882592,2.761111,2.739,1.2633598,1.3235167,1
1.75,3.5,5,2,1.8,1.95,1.8,0.5405405,0.27027026,0.1891892,0.41045958,0.4921122,-62.89727,-105.29658,-105.29658,1609.3866,1827.7286,-0.70197713,-323.63858,1.3,1.1,1.5,1.6,1.2262754,1.1412152,1842.9775,1647.4138,1.3,1,1.2866696,0.9607767,0.888978,0.7946459,1.0480546,0.86109823,1.579,3.47,1.6562157,1.0677297,0
